dataset,subject_id,n_trials,n_responded,n_missed,miss_rate,encoding_accuracy,rt_mean,rt_median,rt_std,rt_cv,Objects_n,Objects_rt_mean,Objects_rt_std,Objects_miss,Scenes_n,Scenes_rt_mean,Scenes_rt_std,Scenes_miss
item_only,00011,280,280,0,0.0,0.8,1.4279437603572205,1.2382689500000197,0.8092378951626705,0.5667155231381299,140,1.5383421957143322,0.8433880159541185,0,140,1.3175453250001088,0.7606502936049838,0
item_only,00012,280,280,2,0.007142857142857143,0.740506329113924,1.9627023859711503,2.0255000499983,0.5618790209659361,0.2862782584777452,140,2.0971354769783654,0.553051964074706,1,140,1.8282692949639352,0.539843407059993,1
item_only,00013,280,280,0,0.0,0.8378378378378378,1.4999931242857094,1.3233747999999539,0.6820181308223809,0.45468083805194454,140,1.6013877264285632,0.7336747591921323,0,140,1.3985985221428556,0.6120911257356675,0
item_only,00014,280,280,0,0.0,0.825503355704698,1.2645240800000044,1.1048231000002033,0.5542423922370305,0.43830117670596563,140,1.343726265000019,0.5669554168652426,0,140,1.1853218949999895,0.5315115655789396,0
item_only,00015,280,280,3,0.010714285714285714,0.7884615384615384,1.6245339657039746,1.5338271999989956,0.6956950360858796,0.42824283811413416,140,1.7398488181159575,0.7798140421022209,2,140,1.5100487165467542,0.581188829196286,1
item_only,00016,280,280,0,0.0,0.8378378378378378,1.201804212500003,1.0011054999999942,0.5481329811811293,0.4560917456271006,140,1.2642741478571549,0.5716941586691311,0,140,1.1393342771428512,0.5180402412350102,0
item_only,00017,280,280,0,0.0,0.7987012987012987,1.6059552039240121,1.5846087000099942,0.6224023151698985,0.38755895161279247,140,1.6660415364246417,0.6341409109397662,0,140,1.5458688714233826,0.606752706101686,0
item_only,00018,280,280,0,0.0,0.7721518987341772,1.4048928239288216,1.3224355499987723,0.6405108708721962,0.4559144014139027,140,1.361980701428859,0.6301549408298474,0,140,1.4478049464287843,0.6501193541547243,0
item_only,00019,280,280,1,0.0035714285714285713,0.821656050955414,1.5657671039411214,1.469213399977889,0.7136181180881169,0.4557626203104543,140,1.5478639814295871,0.6569015049871084,0,140,1.5837990258951846,0.7684938967728513,1
item_only,00020,280,280,0,0.0,0.8055555555555556,1.3698558775002312,1.262344149996352,0.5915115049852027,0.43180564809826344,140,1.4317514521425307,0.6326414679770235,0,140,1.3079603028579316,0.5425277974469946,0
item_only,00021,280,280,1,0.0035714285714285713,0.8525641025641025,1.5691205437280953,1.471671300008893,0.6827579014675673,0.43512138324656263,140,1.6733480762592317,0.6946937820552789,1,140,1.4656374935721812,0.6569170649234215,0
item_only,00022,280,280,0,0.0,,1.466806445357143,1.55655205,0.9376964293783118,0.6392775490906697,140,1.5213740685714288,0.9369925428136199,0,140,1.412238822142857,0.9385743359007952,0
item_only,00023,280,280,0,0.0,0.8421052631578947,1.2355503646426118,1.1029762499965727,0.5292109423195812,0.42832000820351646,140,1.2926877249963582,0.5432517539376968,0,140,1.1784130042888656,0.5103376290452601,0
item_only,00024,280,280,0,0.0,0.7647058823529411,1.3104576124998857,1.1764851999978418,0.5781373206157849,0.4411720875983964,140,1.3621408142857294,0.5770521066368866,0,140,1.258774410714042,0.5766457082404445,0
item_only,00025,280,280,0,0.0,0.8037974683544303,1.3329687764288143,1.1909728000027826,0.5809276759417917,0.43581491645900944,140,1.3670398750011892,0.6212684912448285,0,140,1.2988976778564392,0.5376512817083631,0
item_only,00026,280,280,0,0.0,0.8181818181818182,1.3105937046387615,1.195638000004692,0.44945215992157894,0.34293782911574516,140,1.3967289307096507,0.42711895283451834,0,140,1.2244584785678723,0.4561708794316239,0
item_only,00027,280,280,0,0.0,0.7532467532467533,1.1089475971430407,0.9314730500045698,0.5348158526485335,0.4822733319648005,140,0.9915021721432692,0.4473896178638701,0,140,1.226393022142812,0.588362945289782,0
item_only,00028,280,280,0,0.0,0.8152866242038217,1.4528244017853078,1.3316240499989362,0.637543623361267,0.4388304757118751,140,1.4663806557137702,0.6565056449235149,0,140,1.4392681478568452,0.6200629640973255,0
item_only,00029,280,280,0,0.0,0.8175675675675675,1.420225660361965,1.2326964500243776,0.6715030516126737,0.47281433532297357,140,1.562377545722328,0.662509094722833,0,140,1.278073775001602,0.6522678369048585,0
item_only,00030,280,280,1,0.0035714285714285713,0.8544303797468354,1.3857097802867175,1.2567809000029229,0.5244528288350954,0.3784723441344123,140,1.5235282735712774,0.49796221154797526,0,140,1.24689978705047,0.5154100406854345,1
item_only,00031,280,280,0,0.0,0.8113207547169812,1.5111350589285264,1.3987818000023253,0.69689081438964,0.4611704362704495,140,1.5787019792852723,0.6964686307761551,0,140,1.4435681385717805,0.6932118936588889,0
item_only,00032,280,280,0,0.0,0.8581081081081081,1.2029476625002904,1.049145099997986,0.476621915939226,0.39621168135326995,140,1.3000079200010597,0.5044482062145006,0,140,1.105887404999521,0.4272309415702495,0
item_only,00033,280,280,0,0.0,0.8074534161490683,1.7294554514269944,1.8296255999593996,0.7645531634671562,0.44207739657955003,140,1.7785572985702727,0.7711961005276006,0,140,1.680353604283716,0.7574221514950333,0
item_only,00034,280,280,0,0.0,0.8108108108108109,1.5401895978571183,1.4591934999916703,0.6461878097347715,0.41955082064819765,140,1.566147674286289,0.6448509102298788,0,140,1.5142315214279474,0.6487922279548353,0
item_only,00035,280,280,0,0.0,0.7960526315789473,1.1904946289293419,1.0725007499859203,0.7219206877178606,0.6064039855157616,140,1.2001521378585105,0.7568897058447949,0,140,1.1808371200001733,0.6877633864022398,0
item_only,00036,280,280,0,0.0,0.75625,1.6447326282136991,1.617740749992663,0.7033311500092579,0.42762643480425594,140,1.760493250001621,0.6969859816913602,0,140,1.528972006425777,0.6929104624248483,0
item_only,00037,280,280,2,0.007142857142857143,0.7792207792207793,1.2729116194256918,1.083471149991965,0.6634277519477626,0.5211891712066277,140,1.338462436958081,0.7200516950255494,2,140,1.2082972421437652,0.598014117921165,0
item_only,00038,280,280,0,0.0,0.7692307692307693,1.0004122892914373,0.8177096499712206,0.4830754226928641,0.48287633794963897,140,1.1240462771475515,0.5001694661395085,0,140,0.8767783014353232,0.4329462279616144,0
item_only,00039,280,280,1,0.0035714285714285713,0.7848101265822784,1.2066455655908597,1.0616434999974445,0.6041486752846871,0.5006844532585282,140,1.3903905407134776,0.6481993780163557,0,140,1.0215786841723955,0.49327931822085824,1
